scenario,cell_type,x_spatial_units,y_spatial_units
baseline,TUMOR_CELL,383.332,219.4994
baseline,TUMOR_CELL,392.5909,310.7386
baseline,TUMOR_CELL,373.9828,250.3839
baseline,TUMOR_CELL,389.8448,349.5182
baseline,TUMOR_CELL,390.3743,310.4591
baseline,TUMOR_CELL,396.602,309.3818
baseline,TUMOR_CELL,485.59,280.5586
baseline,TUMOR_CELL,359.9784,316.8954
baseline,TUMOR_CELL,378.0693,302.9227
baseline,TUMOR_CELL,449.8204,280.5413
baseline,CAR_MACROPHAGE,472.3089,325.5549
baseline,CAR_MACROPHAGE,492.919,376.1883
baseline,CAR_MACROPHAGE,367.0486,566.8675
baseline,CAR_MACROPHAGE,602.0384,211.626
baseline,CAR_MACROPHAGE,461.8328,191.7867
baseline,CAR_MACROPHAGE,361.3017,211.1079
baseline,CAR_MACROPHAGE,395.8478,200.9796
baseline,CAR_MACROPHAGE,479.5139,332.0325
baseline,CAR_MACROPHAGE,347.7574,87.6915
baseline,CAR_MACROPHAGE,377.7696,381.4517
baseline,CAR_MACROPHAGE,447.1034,391.656
baseline,CAR_MACROPHAGE,351.0938,344.5939
baseline,WILD_TYPE_MACROPHAGE,526.113,297.2683
baseline,WILD_TYPE_MACROPHAGE,374.892,250.0049
baseline,WILD_TYPE_MACROPHAGE,609.7755,509.02
baseline,WILD_TYPE_MACROPHAGE,23.7327,223.3431
baseline,WILD_TYPE_MACROPHAGE,67.3698,356.5035
baseline,WILD_TYPE_MACROPHAGE,374.6036,250.2727
baseline,WILD_TYPE_MACROPHAGE,396.9159,35.8171
baseline,WILD_TYPE_MACROPHAGE,767.3084,578.5076
baseline,CD8_T_CELL,447.1823,105.9907
baseline,CD8_T_CELL,716.149,311.4918
baseline,CD8_T_CELL,601.6069,182.0402
baseline,CD8_T_CELL,773.7212,516.7594
baseline,CD8_T_CELL,105.6217,314.8858
baseline,CD8_T_CELL,529.1157,229.2482
baseline,CD8_T_CELL,452.7534,367.7962
baseline,CD8_T_CELL,299.8602,544.1345
baseline,CD8_T_CELL,292.5079,423.9614
baseline,CD8_T_CELL,535.8049,52.0693
baseline,TUMOR_CELL,372.6822,287.2719
baseline,TUMOR_CELL,394.2267,330.1606
baseline,TUMOR_CELL,355.0148,256.3434
baseline,TUMOR_CELL,429.7595,308.9593
baseline,TUMOR_CELL,384.5656,233.5188
baseline,TUMOR_CELL,459.1075,368.8326
baseline,TUMOR_CELL,385.3732,237.2675
baseline,TUMOR_CELL,368.0183,289.0849
baseline,TUMOR_CELL,407.1344,248.1624
baseline,TUMOR_CELL,397.9432,317.4842
baseline,TUMOR_CELL,435.5713,322.2839
baseline,TUMOR_CELL,390.8099,362.1704
baseline,TUMOR_CELL,393.7779,253.4218
baseline,TUMOR_CELL,401.5979,283.7575
baseline,TUMOR_CELL,413.0022,338.2823
baseline,TUMOR_CELL,391.1088,278.0545
baseline,TUMOR_CELL,462.5259,191.3778
baseline,TUMOR_CELL,366.664,303.6722
baseline,TUMOR_CELL,396.2364,281.7431
baseline,TUMOR_CELL,399.3237,317.7314
baseline,TUMOR_CELL,360.2784,295.9348
baseline,TUMOR_CELL,389.4135,287.4844
baseline,TUMOR_CELL,398.867,344.1002
baseline,TUMOR_CELL,360.7449,210.9778
baseline,TUMOR_CELL,424.6217,369.3946
baseline,TUMOR_CELL,407.7484,259.8217
baseline,TUMOR_CELL,362.7871,261.5553
baseline,TUMOR_CELL,424.4293,368.3309
baseline,TUMOR_CELL,368.8305,337.7863
baseline,TUMOR_CELL,402.0117,277.8415
baseline,TUMOR_CELL,427.2404,323.3762
high_TGFb,TUMOR_CELL,465.6409,306.9965
high_TGFb,TUMOR_CELL,378.419,223.0697
high_TGFb,TUMOR_CELL,448.7327,204.2141
high_TGFb,TUMOR_CELL,395.0604,309.137
high_TGFb,TUMOR_CELL,369.4994,250.2826
high_TGFb,TUMOR_CELL,390.041,350.6604
high_TGFb,TUMOR_CELL,394.4572,313.5635
high_TGFb,TUMOR_CELL,395.4208,306.0085
high_TGFb,TUMOR_CELL,480.2786,284.8932
high_TGFb,TUMOR_CELL,356.4253,326.3128
high_TGFb,TUMOR_CELL,376.0426,299.2533
high_TGFb,TUMOR_CELL,452.1642,285.8351
high_TGFb,TUMOR_CELL,468.7053,338.3446
high_TGFb,TUMOR_CELL,347.5722,348.8979
high_TGFb,TUMOR_CELL,426.6966,192.3283
high_TGFb,CAR_MACROPHAGE,503.0729,297.8817
high_TGFb,CAR_MACROPHAGE,490.7222,356.0494
high_TGFb,CAR_MACROPHAGE,353.1664,567.9206
high_TGFb,CAR_MACROPHAGE,501.0916,278.4726
high_TGFb,CAR_MACROPHAGE,452.3075,208.1074
high_TGFb,CAR_MACROPHAGE,343.8732,217.3551
high_TGFb,CAR_MACROPHAGE,400.5437,197.6974
high_TGFb,CAR_MACROPHAGE,501.6682,291.1728
high_TGFb,CAR_MACROPHAGE,307.8949,69.6106
high_TGFb,CAR_MACROPHAGE,363.2614,382.3896
high_TGFb,CAR_MACROPHAGE,407.4928,393.4397
high_TGFb,CAR_MACROPHAGE,324.7361,374.4021
high_TGFb,WILD_TYPE_MACROPHAGE,530.4889,296.0396
high_TGFb,WILD_TYPE_MACROPHAGE,374.4439,273.3934
high_TGFb,WILD_TYPE_MACROPHAGE,555.287,519.6607
high_TGFb,WILD_TYPE_MACROPHAGE,45.2957,186.0787
high_TGFb,WILD_TYPE_MACROPHAGE,71.3087,350.8152
high_TGFb,WILD_TYPE_MACROPHAGE,368.5701,251.1846
high_TGFb,WILD_TYPE_MACROPHAGE,400.736,121.5074
high_TGFb,WILD_TYPE_MACROPHAGE,752.24,563.3041
high_TGFb,CD8_T_CELL,457.5729,77.8064
high_TGFb,CD8_T_CELL,709.9771,338.447
high_TGFb,CD8_T_CELL,667.6874,205.2049
high_TGFb,CD8_T_CELL,763.651,539.017
high_TGFb,CD8_T_CELL,124.3662,276.3663
high_TGFb,CD8_T_CELL,483.7394,229.0145
high_TGFb,CD8_T_CELL,454.4936,366.9092
high_TGFb,CD8_T_CELL,284.479,519.3355
high_TGFb,CD8_T_CELL,329.9488,413.7113
high_TGFb,CD8_T_CELL,578.529,26.931
high_TGFb,TUMOR_CELL,452.0393,208.685
high_TGFb,TUMOR_CELL,373.8387,272.889
high_TGFb,TUMOR_CELL,373.0287,316.6794
high_TGFb,TUMOR_CELL,417.6352,227.3304
high_TGFb,TUMOR_CELL,401.2853,198.7223
high_TGFb,TUMOR_CELL,344.6858,342.8682
high_TGFb,TUMOR_CELL,355.815,308.0999
high_TGFb,TUMOR_CELL,399.3075,253.3217
high_TGFb,TUMOR_CELL,417.8886,192.2893
high_TGFb,TUMOR_CELL,332.8076,299.9615
high_TGFb,TUMOR_CELL,425.8314,314.1346
high_TGFb,TUMOR_CELL,392.1582,292.7458
high_TGFb,TUMOR_CELL,367.0005,344.6394
high_TGFb,TUMOR_CELL,324.5136,374.153
high_TGFb,TUMOR_CELL,351.9902,330.2567
high_TGFb,TUMOR_CELL,363.8046,306.9698
high_TGFb,TUMOR_CELL,347.1765,342.1706
high_TGFb,TUMOR_CELL,433.8729,346.2426
high_TGFb,TUMOR_CELL,312.0277,347.0689
high_TGFb,TUMOR_CELL,363.2448,276.938
high_TGFb,TUMOR_CELL,441.0459,344.9707
high_TGFb,TUMOR_CELL,344.6109,219.9651
high_TGFb,TUMOR_CELL,395.296,267.7773
high_TGFb,TUMOR_CELL,376.7843,237.377
high_TGFb,TUMOR_CELL,378.4996,225.4885
high_TGFb,TUMOR_CELL,384.0549,336.2229
high_TGFb,TUMOR_CELL,378.7726,226.6776
high_TGFb,TUMOR_CELL,419.6887,157.5086
high_TGFb,TUMOR_CELL,319.8369,319.9392
high_TGFb,TUMOR_CELL,412.7999,373.8558
high_TGFb,TUMOR_CELL,336.5879,326.9096
high_TGFb,TUMOR_CELL,388.3306,312.9732
high_TGFb,TUMOR_CELL,338.467,312.0187
high_TGFb,TUMOR_CELL,359.1604,374.6332
high_TGFb,TUMOR_CELL,406.9723,325.3024
CD147_ECM,TUMOR_CELL,316.6195,199.4619
CD147_ECM,TUMOR_CELL,463.9498,303.4809
CD147_ECM,TUMOR_CELL,382.3948,387.6516
CD147_ECM,TUMOR_CELL,520.5317,351.2578
CD147_ECM,TUMOR_CELL,386.4253,218.4089
CD147_ECM,TUMOR_CELL,448.3578,202.1365
CD147_ECM,TUMOR_CELL,478.3083,228.3783
CD147_ECM,TUMOR_CELL,394.6094,307.8073
CD147_ECM,TUMOR_CELL,413.9187,402.3651
CD147_ECM,TUMOR_CELL,281.0326,385.7725
CD147_ECM,TUMOR_CELL,435.221,412.6851
CD147_ECM,TUMOR_CELL,374.6814,248.5731
CD147_ECM,TUMOR_CELL,385.6908,349.4665
CD147_ECM,TUMOR_CELL,395.0065,313.864
CD147_ECM,TUMOR_CELL,369.512,179.528
CD147_ECM,TUMOR_CELL,525.8112,318.0611
CD147_ECM,TUMOR_CELL,394.9645,306.0282
CD147_ECM,TUMOR_CELL,485.8173,282.7746
CD147_ECM,TUMOR_CELL,359.9256,319.7369
CD147_ECM,TUMOR_CELL,374.5594,298.027
